,last_price,adv_usd,n_days,missing,eligible,name,sector,tier
GPK,10.729999542236328,61853040.870666504,1255,0.0,True,Graphic Packaging,Materials,mid
MAT,15.09000015258789,61835430.57136536,1255,0.0,True,Mattel,Consumer Discretionary,mid
MRCY,97.0999984741211,61752049.34082031,1255,0.0,True,Mercury Systems,Industrials,small
VNO,39.38999938964844,61730424.449920654,1255,0.0,True,Vornado Realty Trust,Real Estate,mid
MTH,70.19999694824219,61730368.87664795,1255,0.0,True,Meritage Homes Corporation,Consumer Discretionary,small
NE,42.400001525878906,61710299.61051941,1255,0.0,True,Noble Corporation,Energy,small
CNX,35.79999923706055,61585993.89953613,1255,0.0,True,CNX Resources,Energy,mid
CVCO,547.030029296875,61392376.2512207,1255,0.0,True,"Cavco Industries, Inc.",Consumer Discretionary,small
WU,6.360000133514404,61133565.69070816,1255,0.0,True,Western Union,Financials,small
THG,232.6300048828125,60757608.1237793,1255,0.0,True,Hanover Insurance,Financials,mid
BFH,108.06999969482422,60332208.41674805,1255,0.0,True,"Bread Financial Holdings, Inc.",Financials,small
PJT,168.30999755859375,60305411.1907959,1255,0.0,True,"PJT Partners, Inc.",Financials,small
PSN,44.209999084472656,60254321.13647461,1255,0.0,True,Parsons Corporation,Industrials,mid
AFG,141.72000122070312,60127145.71380615,1255,0.0,True,American Financial Group,Financials,mid
OLN,18.510000228881836,59979334.011650085,1255,0.0,True,Olin Corporation,Materials,mid
NXST,190.52999877929688,59773803.2119751,1255,0.0,True,Nexstar Media Group,Communication Services,mid
YETI,48.939998626708984,59715265.995025635,1255,0.0,True,Yeti Holdings,Consumer Discretionary,mid
APPF,180.19000244140625,59658607.35321045,1255,0.0,True,AppFolio,Information Technology,mid
SSD,187.74000549316406,59646582.32116699,1255,0.0,True,Simpson Manufacturing,Industrials,mid
FAF,74.98999786376953,59595919.4732666,1255,0.0,True,First American Financial Corporation,Financials,mid
BDC,124.05000305175781,59557497.28393555,1255,0.0,True,Belden Inc.,Information Technology,mid
PK,15.0600004196167,59194502.34222412,1255,0.0,True,Park Hotels & Resorts,Real Estate,mid
SLM,26.0,59011300.822257996,1255,0.0,True,SLM Corp,Financials,mid
SEIC,102.9800033569336,58947178.383636475,1255,0.0,True,SEI Investments Company,Financials,mid
LRN,80.29000091552734,58858799.78179932,1255,0.0,True,"Stride, Inc.",Consumer Discretionary,small
HCC,79.41000366210938,58753095.9022522,1255,0.0,True,"Warrior Met Coal, Inc.",Materials,small
DCI,94.23999786376953,58747464.98718262,1255,0.0,True,Donaldson Company,Industrials,mid
